timestamp,label
1761471365.1811504,Relax
1761471365.1916773,Anxiety
1761471365.2016964,Anxiety
1761471365.211283,Anxiety
1761471365.2202983,Anxiety
1761471365.2292325,Relax
1761471365.2388518,Relax
1761471365.2489734,Relax
1761471365.258031,Focus
1761471365.2671244,Focus
1761471365.2764726,Anxiety
1761471365.285695,Focus
1761471365.2957487,Relax
1761471365.3053536,Relax
1761471365.3148923,Anxiety
1761471365.3243115,Focus
1761471365.334374,Focus
1761471365.3441284,Focus
1761471365.3532288,Anxiety
1761471365.3626406,Relax
1761471365.3726513,Relax
1761471365.3822625,Anxiety
1761471365.3917775,Relax
1761471365.400789,Anxiety
1761471365.4103248,Anxiety
1761471365.4197133,Relax
1761471365.4295797,Anxiety
1761471365.439138,Focus
1761471365.4479709,Anxiety
1761471365.4580266,Relax
1761471365.4674845,Relax
1761471365.477152,Focus
1761471365.4866874,Relax
1761471365.4972115,Relax
1761471365.5067453,Relax
1761471365.5162647,Focus
1761471365.5259228,Anxiety
1761471365.5354843,Anxiety
1761471365.5457737,Relax
1761471365.5556312,Relax
1761471365.5656695,Relax
1761471365.57506,Anxiety
1761471365.5854743,Anxiety
1761471365.5959966,Anxiety
1761471365.6054096,Relax
1761471365.6154852,Anxiety
1761471365.6245072,Relax
1761471365.633536,Focus
1761471365.6424255,Relax
1761471365.651445,Relax
1761471365.661473,Anxiety
1761471365.670987,Relax
1761471365.6805084,Anxiety
1761471365.6907465,Relax
1761471365.7005906,Anxiety
1761471365.7096338,Relax
1761471365.718675,Relax
1761471365.7294884,Anxiety
1761471365.738527,Anxiety
1761471365.7476065,Anxiety
1761471365.756814,Relax
1761471365.7663805,Anxiety
1761471365.775599,Anxiety
1761471365.7852209,Anxiety
1761471365.7947507,Anxiety
1761471365.8036911,Focus
1761471365.8133724,Focus
1761471365.8224664,Focus
1761471365.832465,Focus
1761471365.842027,Relax
1761471365.8509812,Relax
1761471365.8599913,Focus
1761471365.869181,Focus
1761471365.8802526,Focus
1761471365.8894916,Anxiety
1761471365.8981848,Relax
1761471365.907244,Focus
1761471365.9173558,Focus
1761471365.9266381,Relax
1761471365.9356618,Focus
1761471365.945054,Anxiety
1761471365.9542096,Relax
1761471365.9632335,Focus
1761471365.9725044,Focus
1761471365.981551,Anxiety
1761471365.9917233,Anxiety
1761471366.0011823,Focus
1761471366.011296,Anxiety
1761471366.0208178,Relax
1761471366.030293,Relax
1761471366.0392318,Focus
1761471366.0494633,Focus
1761471366.0579803,Anxiety
1761471366.0670075,Focus
1761471366.07593,Focus
1761471366.084956,Anxiety
1761471366.0942807,Focus
1761471366.1033118,Focus
1761471366.1118224,Focus
1761471366.1206365,Focus
1761471366.129144,Relax
1761471366.137673,Focus
1761471366.1467044,Focus
1761471366.1563656,Focus
1761471366.1654725,Focus
1761471366.1746163,Focus
1761471366.1839576,Anxiety
1761471366.1931567,Focus
1761471366.2026641,Relax
