timestamp,label
1761471397.3460543,Relax
1761471397.35609,Focus
1761471397.365731,Focus
1761471397.374427,Focus
1761471397.3833554,Anxiety
1761471397.3921976,Focus
1761471397.4012427,Focus
1761471397.4103975,Focus
1761471397.4189281,Focus
1761471397.4274802,Focus
1761471397.4361124,Focus
1761471397.445241,Relax
1761471397.453763,Focus
1761471397.4623077,Focus
1761471397.4710588,Focus
1761471397.479706,Relax
1761471397.4887967,Focus
1761471397.4978266,Anxiety
1761471397.5068588,Relax
1761471397.5174217,Focus
1761471397.5271542,Relax
1761471397.5367112,Anxiety
1761471397.5462887,Focus
1761471397.55558,Focus
1761471397.5651677,Focus
1761471397.5742013,Anxiety
1761471397.5838354,Relax
1761471397.5933597,Relax
1761471397.60183,Focus
1761471397.6108408,Anxiety
1761471397.6203604,Anxiety
1761471397.6298754,Focus
1761471397.6394143,Focus
1761471397.6494849,Relax
1761471397.6585546,Relax
1761471397.6687639,Anxiety
1761471397.677297,Relax
1761471397.6873531,Focus
1761471397.695895,Relax
1761471397.7050648,Relax
1761471397.7140882,Relax
1761471397.7236187,Relax
1761471397.732633,Anxiety
1761471397.7416468,Relax
1761471397.7506604,Anxiety
1761471397.7596908,Relax
1761471397.768727,Anxiety
1761471397.7777674,Anxiety
1761471397.7868042,Focus
1761471397.79592,Anxiety
1761471397.80439,Anxiety
1761471397.8129125,Relax
1761471397.8224628,Relax
1761471397.8314972,Anxiety
1761471397.8407316,Relax
1761471397.8497448,Relax
1761471397.8587978,Anxiety
1761471397.8691714,Focus
1761471397.878866,Relax
1761471397.8880103,Anxiety
1761471397.8970413,Focus
1761471397.906571,Anxiety
1761471397.9164352,Relax
1761471397.9261243,Relax
1761471397.9356463,Relax
1761471397.9456117,Focus
1761471397.954695,Anxiety
1761471397.964165,Relax
1761471397.9736993,Focus
1761471397.9827323,Relax
1761471397.9917579,Focus
1761471398.0012832,Anxiety
1761471398.010316,Focus
1761471398.018854,Anxiety
1761471398.0273817,Relax
1761471398.03591,Relax
1761471398.044694,Relax
1761471398.0533307,Focus
1761471398.0624175,Relax
1761471398.0711384,Anxiety
1761471398.080057,Anxiety
1761471398.0888855,Relax
1761471398.0977733,Focus
1761471398.1075122,Focus
1761471398.1165347,Relax
1761471398.1255388,Anxiety
1761471398.1365726,Relax
1761471398.1470225,Anxiety
1761471398.1560025,Anxiety
1761471398.1645908,Anxiety
1761471398.173117,Anxiety
1761471398.181648,Relax
1761471398.1901612,Relax
1761471398.1986985,Relax
1761471398.2077239,Anxiety
1761471398.216754,Anxiety
1761471398.2257862,Anxiety
1761471398.2348177,Anxiety
1761471398.2443573,Focus
1761471398.253955,Focus
1761471398.2634723,Focus
1761471398.2728553,Anxiety
1761471398.281804,Anxiety
1761471398.2908132,Anxiety
1761471398.30032,Focus
1761471398.3101225,Anxiety
1761471398.3196316,Anxiety
1761471398.3292487,Focus
1761471398.3384702,Focus
1761471398.3477075,Focus
1761471398.356865,Relax
